MÃ TỈNH,CONVINCE,2016,2017,2018,2019,2020,2021,2022
TOÀN QUỐC,TOÀN QUỐC,6.69,6.94,7.47,7.36,2.87,2.55,8.12
1,Ha Noi,7.16,7.39,7.32,7.75,4.11,2.94,8.95
2,Ha Giang,6.52,7.72,6.13,6.58,2.73,5.11,7.01
4,Cao Bang,4.38,7.09,7.01,4.17,6.02,-0.62,5.11
6,Bac Kan,5.35,5.9,5.14,5.62,4.57,4.41,6.11
8,Tuyon Quang,,,,,,,
10,Lao Cai,9.45,10.04,9.06,8.33,3.34,4.03,9.36
11,Dien Bion,6.28,6.87,5.54,4,2.49,6.65,10.6
12,Lai Chou,32.99,14.57,6.7,-0.95,8.19,4.2,9.27
14,Son La,7.16,9.33,5.83,-2.58,7.21,2.72,8.77
15,Yon Boi,6.19,6.36,6.34,7.24,5.23,7.31,9.47
17,Hoa Bonh,9.39,9.04,8.56,1,2.76,3.6,9.52
19,Thoi Nguyon,13.36,12.81,9.75,7.19,3.32,6.23,7.72
20,Lang Son,1.93,5.97,7.75,6.57,3.9,6.75,7.64
22,Quang Ninh,10.17,10.13,10.77,12.05,8.04,9.5,10.26
24,Bac Giang,10.78,13.24,16.18,16.13,13.52,8.52,20.09
25,Phy Tho,8.36,7.49,9.13,9.4,3.75,6.94,8.61
26,Vinh Phyc,8.46,7.47,8.16,8.2,2.84,8.01,9.47
27,Bac Ninh,6.15,19.13,11.28,1.23,3.42,7.68,6.79
30,Hai Duong,9.98,8.65,9.92,7.39,2.76,8.54,9.17
31,Hai Phung,11.21,13.93,16.2,17.02,10.61,12.86,12.48
33,Hung Yon,7.94,8.65,9.33,9.21,5.97,8.41,13.67
34,Thoi Bonh,9.12,10.72,10.6,9.8,1.79,7.57,8.94
35,Ha Nam,12.61,10.81,11.89,11.75,7.14,8.79,10.76
36,Nam Dinh,6.79,6.27,8.56,7.61,4.54,6.66,7.81
37,Ninh Bonh,5.87,8.22,9.69,14.39,7.39,4.17,8.8
38,Thanh Hoo,9.25,8.88,16.58,16.43,5.06,9.67,12.04
40,Nghe An,6.95,7.88,8.73,6.87,4.44,6.31,8.92
42,Ha Tinh,-14.58,9.9,20.85,9.27,2.85,6.11,2.54
44,Quang Bonh,5.57,7.03,7.34,7.07,3.16,4.27,7.38
45,Quang Tri,6.39,7.06,7.25,7.64,3.73,6.57,7.22
46,Thua Thion Hue,6.93,7.92,6.72,7.25,2.04,4.24,8.56
48,Da Nang,8.56,7.06,8.17,7.04,-7.8,1.4,13.43
49,Quang Nam,18.58,5.24,7.99,4.26,-0.98,5,11.01
51,Quang Ngoi,0.75,1.39,8.31,4.25,-0.6,6.95,8.92
52,Bonh Dinh,6.63,6.72,7.31,6.83,3.55,3.97,7.71
54,Phy Yon,7.54,7.04,7.75,7.64,3.09,-0.14,7.23
56,Khonh Hoa,7.97,7.91,7.53,8.46,-10.15,-5.32,19.3
58,Ninh Thuan,6.29,9.96,7.41,14.69,10.38,9.13,8.13
60,Bonh Thuan,7.71,7.07,8.54,10.31,4.7,2.58,7.76
62,Kon Tum,6.86,7.86,8.3,7.62,6.81,6.55,9.9
64,Gia Lai,4.87,8.61,7.21,4.41,4.08,9.81,7.24
66,Dak Lak,6.06,7.12,6.47,5.35,6.11,5.79,8.28
67,Dak Nung,4.51,7.9,6.45,6.06,5.09,8.96,6.71
68,Lom Dong,6.2,7.47,7.69,6.2,2.64,3.9,11.01
70,Bonh Phuoc,5.04,6.58,8.27,10.33,4.94,9.03,10.73
72,Toy Ninh,7.9,7.71,7.85,9.32,3.23,0.74,9.85
74,Bonh Duong,10.56,9.27,8.51,10.65,6.24,2.78,8.85
75,Dong Nai,7.41,7.42,8.72,7.49,3.05,1.37,8.37
77,Ba Ria-Vung Tau,-3.21,-3.76,-0.27,0.59,-9.13,-5.68,5.76
79,TP Ho Cho Minh,7.31,7.89,7.86,7.95,1.16,-4.01,9.26
80,Long An,9.72,9.82,10.59,9.66,4.12,1.29,8.31
82,Tien Giang,8.45,7.68,7.07,4.87,0.3,-1.06,6.75
83,Ben Tre,4.38,6.89,7.6,6.48,0.84,2.64,6.7
84,Tra Vinh,12.32,12.04,8.93,11.19,3,-2.07,4.64
86,Vinh Long,4.6,5.6,5.79,6.74,4.96,0.01,13.67
87,Dong Thop,5.59,6.03,7.01,6.29,1.21,-0.58,8
89,An Giang,4.5,4.38,5.69,6.84,2.94,0.24,5.29
91,Kion Giang,6.26,6.04,8.89,4.89,3.01,0.34,7.62
92,Can Tho,7.82,6.28,8.15,5.38,-0.56,0.11,12.7
93,Hau Giang,2.94,5.46,6.24,7.37,2.47,3.6,13.56
94,Suc Trang,4.23,4.4,6.47,5.91,1.25,2.41,7.87
95,Bac Liou,6.76,6.29,7.31,4.91,4.25,5.31,10.01
96,Ca Mau,1.93,4.38,3.19,4.58,1,-2.54,7.27
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Nguồn số liệu: Niên giám Tổng cục Thống kê,,,,,,,
