TÊN T?NH;NÃM 2016;NÃM 2017;NÃM 2018;NÃM 2019
TOÀN QU?C;9,2;7,9;6,8;5,7
Hà N?i;1,4;1,3;0,9;0,7
Hà Giang;39,8;36,9;32,6;29,1
Cao B?ng;37,3;34,9;31,5;28,5
B?c K?n;29,7;27,7;25,1;22,5
Tuyên Quang;;;;
Lào Cai;26,4;23,9;20,5;17,2
Ði?n Biên;53,9;50,2;44,5;39,9
Lai Châu;44,3;41,6;37,1;33
Sõn La;42,8;41;36,3;33
Yên Bái;26,1;23,6;20,3;17,5
H?a B?nh;17,8;15,4;12,7;10,5
Thái  Nguyên;7,8;7,4;6;5,1
L?ng Sõn;23,5;20,6;18,4;15,9
Qu?ng Ninh;4,3;3,8;2,5;2,2
B?c Giang;6,4;5,4;3,8;3,3
Phú Th?;10,3;9,2;7,5;6,5
V?nh Phúc;5,1;4,5;3,4;2,9
B?c Ninh;1,9;1,4;1,1;0,8
H?i Dýõng;3,6;3,1;2,3;2
H?i Ph?ng;2,1;1,9;1,4;1,2
Hýng Yên;4,2;3,7;2,8;2,3
Thái B?nh;4,7;4;2,9;2,4
Hà Nam;4,9;4,1;2,8;2,3
Nam Ð?nh;4,2;3,6;2,8;2,3
Ninh B?nh;4,5;3,9;2,8;2,2
Thanh Hóa;11,9;10,9;8,8;8
Ngh? An;17,7;16,4;13,5;12,1
Hà T?nh;12,5;10,9;8,8;7,2
Qu?ng B?nh;13,7;12,1;10,8;9,3
Qu?ng Tr?;16,1;14,3;12,6;10,9
Th?a Thiên-Hu?;7,3;6,5;4,7;4
Ðà N?ng;1,5;1,2;0,9;0,7
Qu?ng  Nam;13,7;12,6;10,3;9,1
Qu?ng  Ng?i;13,7;12,2;10,1;8,4
B?nh Ð?nh;8;6,9;5,5;4,6
Phú Yên;9,9;8,8;7,5;6,3
Khánh  H?a;5,9;5;3,7;3
Ninh  Thu?n;13,4;12,6;11;9,8
B?nh Thu?n;4,4;3,6;2,6;2,1
Kon Tum;34;31,9;27,5;24,1
Gia Lai;30,2;27,5;23,4;20,2
Ð?k L?k;15,4;13,5;10,9;9,1
Ð?k Nông;17,1;14,8;12,1;10,1
Lâm Ð?ng;8,1;6,9;5,8;4,8
B?nh Phý?c;6,7;6;4,4;3,7
Tây Ninh;2,5;2,2;1,7;1,2
B?nh  Dýõng;1,1;0,9;0,7;0,6
Ð?ng Nai;0,8;0,7;0,5;0,3
Bà R?a - V?ng Tàu;1,3;1,1;0,9;0,7
TP. H? Chí Minh;0,2;0,1;0,1;0,1
Long An;4,8;4;2,9;2,5
Ti?n Giang;5,7;4,7;3,2;2,6
B?n Tre;10,1;8,7;6,7;5,6
Trà Vinh;13,9;12;9,9;8,4
V?nh Long;9,3;7,9;6,5;5,8
Ð?ng Tháp;8;6,9;5,6;4,7
An Giang;7,6;6,8;5,7;4,9
Kiên  Giang;8,2;7,1;5,8;4,8
C?n Thõ;4,6;3,9;2,7;2,2
H?u Giang;10,7;9,4;7,3;6,2
Sóc Trãng;10,2;8,7;6,7;5,6
B?c Liêu;13,3;11,5;9,4;7,9
Cà Mau;11,9;10,1;8,3;6,9
