Age;Female;Male;
0-4;3842402;3459537;0-4,3842402,3459537
05-Sep;3953190;3555887;5-9,3953190,3555887
10-14,3760862,3412292;;;10-14,3760862,3412292
15-19,3609132,3366994;;;15-19,3609132,3366994
20-24,3471122,3331052;;;20-24,3471122,3331052
25-29,3888681,3821683;;;25-29,3888681,3821683
30-34,4058851,4128883;;;30-34,4058851,4128883
35-39,3888388,3990740;;;35-39,3888388,3990740
40-44,3744205,3714490;;;40-44,3744205,3714490
45-49,3421590,3400637;;;45-49,3421590,3400637
50-54,2749474,2917833;;;50-54,2749474,2917833
55-59,2393990,2713048;;;55-59,2393990,2713048
60-64,2140145,2500089;;;60-64,2140145,2500089
65-69,1638986,2020477;;;65-69,1638986,2020477
70-74,999965,1388755;;;70-74,999965,1388755
75-79,489748,815094;;;75-79,489748,815094
80-84,275646,562979;;;80-84,275646,562979
85-89,131950,372929;;;85-89,131950,372929
90-94,37403,162643;;;90-94,37403,162643
95-99,5212,43031;;;95-99,5212,43031
100+,342,6492;;;100+,342,6492
