"ID","CONVINCE","2016","2017","2018","2019","2020","2021","","","","","","","","","","","","","","",""
"01","Hà Nội","7,590,766","7,742,188","7,914,485","8,093,891","8,246,540","8,330,834","","","","","","","","","","","","","","",""
"02","Hà Giang","820,427","833,692","846,531","858,091","870,240","887,086","","","","","","","","","","","","","","",""
"04","Cao Bằng","524,235","526,418","528,656","530,856","533,085","542,217","","","","","","","","","","","","","","",""
"06","Bắc Kạn","307,675","309,883","312,000","314,378","316,463","323,712","","","","","","","","","","","","","","",""
"08","Tuyên Quang","763,377","770,504","778,300","786,258","792,900","801,668","","","","","","","","","","","","","","",""
"10","Lào Cai","696,453","708,571","720,829","733,337","746,355","761,890","","","","","","","","","","","","","","",""
"11","Điện Biên","568,267","579,387","590,518","601,659","613,480","625,089","","","","","","","","","","","","","","",""
"12","Lai Châu","436,321","444,506","453,383","462,629","469,811","478,430","","","","","","","","","","","","","","",""
"14","Sơn La","1,194,937","1,213,400","1,233,074","1,252,700","1,270,556","1,287,718","","","","","","","","","","","","","","",""
"15","Yên Bái","800,321","807,287","814,579","823,034","831,586","842,671","","","","","","","","","","","","","","",""
"17","Hoà Bình","836,963","845,000","850,413","855,804","861,216","871,724","","","","","","","","","","","","","","",""
"19","Thái Nguyên","1,242,824","1,256,124","1,273,558","1,290,945","1,307,871","1,323,150","","","","","","","","","","","","","","",""
"20","Lạng Sơn","763,396","768,698","775,866","782,811","788,706","796,939","","","","","","","","","","","","","","",""
"22","Quảng Ninh","1,261,240","1,285,209","1,303,912","1,324,842","1,337,605","1,350,851","","","","","","","","","","","","","","",""
"24","Bắc Giang","1,696,903","1,736,787","1,777,506","1,810,421","1,841,624","1,875,238","","","","","","","","","","","","","","",""
"25","Phú Thọ","1,409,008","1,430,475","1,449,585","1,466,399","1,481,884","1,507,539","","","","","","","","","","","","","","",""
"26","Vĩnh Phúc","1,106,141","1,123,140","1,138,370","1,154,836","1,171,232","1,191,782","","","","","","","","","","","","","","",""
"27","Bắc Ninh","1,257,844","1,297,762","1,337,345","1,378,592","1,419,126","1,462,945","","","","","","","","","","","","","","",""
"30","Hải Dương","1,832,812","1,850,587","1,877,682","1,896,911","1,916,774","1,936,775","","","","","","","","","","","","","","",""
"31","Hải Phòng","1,985,314","2,001,399","2,016,420","2,033,300","2,053,493","2,072,388","","","","","","","","","","","","","","",""
"33","Hưng Yên","1,215,503","1,228,823","1,242,395","1,255,839","1,269,090","1,284,552","","","","","","","","","","","","","","",""
